Course ID,Course Name,,,,,,,Ratings,Users Reviewed,Hours,Lectures,Tags
1,The Complete Node.js Developer Course (3rd Edition),,,,,,,4.7,"-42,855",34.5 total hours,177 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
2,Learn and Understand NodeJS,,,,,,,4.5,"-22,520",13 total hours,97 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
3,Angular & NodeJS - The MEAN Stack Guide [2020 Edition],,,,,,,4.6,"-15,423",12.5 total hours,149 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
4,Node with React: Fullstack Web Development,,,,,,,4.7,"-10,719",26 total hours,207 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
5,Node.js: The Complete Guide to Build RESTful APIs (2018),,,,,,,4.6,"-7,664",15 total hours,224 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
6,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2020",,,,,,,4.7,"-2,706",42 total hours,227 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
7,Node.js API Masterclass With Express & MongoDB,,,,,,,4.8,"-1,412",12 total hours,76 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
8,Build NodeJS applications with Mongodb,,,,,,,4.5,-698,4.5 total hours,59 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
9,Node.js REST API with Express & MongoDB - Solid Architecture,,,,,,,4.6,-97,3 total hours,29 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
10,Build a Stock Market Web App With Node and Javascript,,,,,,,4.9,-48,2 total hours,29 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
